ID ответа,Дата ответа,Затраченное время,Источник ответа,Источник ответа,Респондент,IP-hash,UA-hash,Логин,Где Вы работаете?,В какой компании Вы работаете?,Какую должность Вы занимаете?,Оцените уровень заинтересованности и вовлеченности сотрудников вашей компании в зеленые и устойчивые практики?,"*Назовите причины, из-за которых Вы начали разрабатывать и внедрять зеленую маркетинговую стратегию в Вашей компании/бренде? Экологичность- популярный тренд",Увеличение динамики продаж,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,"Вариант ""другое""","Вариант ""затрудняюсь ответить""",Ваша зеленая маркетинговая стратегия и ориентация на устойчивое развитие помогли увеличить продажи и маржинальность FMCG продуктов?,Ваша зеленая маркетинговая стратегия и ориентация на устойчивое развитие помогли улучшить имидж и репутацию компании/брендов/продуктов?,На каком уровне реализации зеленой маркетинговой стратегии находится Ваша компания?,"Считаете ли Вы, что зеленую маркетинговую стратегию вашей компании можно назвать успешной?","* По вашему мнению, наиболее существенными и значимыми факторами, влияющими на увеличение прибыли в рамках зеленой маркетинговой стратегии в FMCG компании после трех лет ее реализации, являются (где 1- совсем не влияет, а 5- сильно влияет)?  Использование переработанного пластика в упаковках и полный переход на более экологичные источники сырья в FMCG продуктах ",Уменьшение выбросов CO2 минимум на 50% на всей цепочке создания ценности продуктов,"Зеленое производство, сертифицированное по LEED, ISO и другим экологическим сертификатам соответствия","Простая и понятная коммуникация компании в упаковке и рекламных кампаниях об экологичности продукта, его использовании, переработке, утилизации для потребителей",Экомаркировки продуктов,Конкурентноспособная цена зеленого продукта,Наличие минимум 90% натуральных компонентов в составе продуктов,Полная локальность FMCG продукта,"Бюджеты на трансформацию и активации зеленого маркетинга, составляющие более 15% от основного годового маркетингового бюджета",Наличие подробной системы гайдлайнов и инструкций по реализации зеленых маркетинговых стратегий у маркетинговой команды,* Привлекаете ли Вы различных экспертов и других стэйкхолдеров для помощи в реализации зеленой маркетинговой стратегии вашей компании?,*Оцените как новая политическая и экономическая реальность в России повлияли на интеграцию устойчивых практик в вашей компании?,* Какие факторы новой политической и экономической реальности сильнее всего повлияли на зеленую маркетинговую стратегию в Вашей компании? Снижение покупательской способности,Урезание маркетинговых бюджетов,Переключение акцента компании на другие направления,Уход зарубежных партнёров и глобальных офисов,Отсутствие доступа к мировым рынкам и рейтингам,Нестабильность и невозможность планирования,"Вариант ""другое""","Вариант ""затрудняюсь ответить""","* Ощущаете ли Вы, что покупательская способность населения России значительно снизилась в 2022–2023 годах?",* Как проходит реализация зеленой маркетинговой стратегии в вашей компании?,"* Есть ли у вас определенные метрики, KPI и показатели, по которым вы оцениваете успешность зеленой маркетинговой стратегии?",* Присутствуют ли в ваших FMCG продуктах большое количество различных эко элементов?,* Какую ориентировочно стратегию зеленого маркетинга реализует ваша FMCG компания?,* Оцените лично ваш уровень заинтересованности и вовлеченности в зеленые и устойчивые практики?
66899818,2023.03.21 13:13,00:01:37,Прямая ссылка,Прямая ссылка,USERID: 31671599,NSKAQPPHIMBTSPO3,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Henkel,Специалист,Высокий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Скорее да,Скорее да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Скорее да,4,5,4,3,3,4,5,4,4,5,Да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Скорее да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
66898549,2023.03.21 12:46,00:01:07,Прямая ссылка,Прямая ссылка,USERID: 31671599,NSKAQPPHIMBTSPO3,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",P&G,Стажер,Высокий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Скорее да,Да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Да,5,5,5,3,4,3,4,4,2,5,Скорее да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,Переключение акцента компании на другие направления,,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Скорее да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Очень высокий
66898464,2023.03.21 12:44,00:19:12,Прямая ссылка,Прямая ссылка,USERID: 31671599,NSKAQPPHIMBTSPO3,QF39GJBJRVBXSURH,,В российской компании,Splat,Специалист,Низкий,Экологичность- популярный тренд,,Оптимизация производство,,,,Скорее нет,Скорее нет,Начальный (только начали разрабатывать стратегию и что-то пробовать),Нет,3,4,3,2,4,4,2,3,2,3,Нет,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,Уход зарубежных партнёров и глобальных офисов,,,,,Скорее да,"Довольно медленно и проблематично, процесс сложный","Есть на уровне обычного перфоманс маркетинга, устойчивые метрики не используем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Средний
66883687,2023.03.21 05:21,00:01:19,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",P&G,Специалист,Очень высокий,Экологичность- популярный тренд,,Оптимизация производство,,,,Скорее да,Да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Скорее да,4,5,5,3,4,4,4,3,4,5,Да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,Переключение акцента компании на другие направления,,,,,,Скорее да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
66883655,2023.03.21 05:19,00:01:11,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Loreal,Junior,Очень высокий,Экологичность- популярный тренд,,,Имидж и репутация среди стэйкхолдеров,,,Скорее да,Да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Да,5,5,5,3,5,4,5,3,4,5,Да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Высокий
66883641,2023.03.21 05:18,00:01:50,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Splat,Junior,Низкий,Экологичность- популярный тренд,,,Имидж и репутация среди стэйкхолдеров,,,Скорее нет,Скорее нет,Начальный (только начали разрабатывать стратегию и что-то пробовать),Нет,4,4,4,2,2,4,3,4,2,3,Скорее нет,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,Уход зарубежных партнёров и глобальных офисов,,,,,Да,"Очень тяжело и долго, трансформация проходила/проходит проблематично","Есть на уровне обычного перфоманс маркетинга, устойчивые метрики не используем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Высокий
66882931,2023.03.21 03:52,00:01:19,Прямая ссылка,Прямая ссылка,USERID: 31671599,HOTFQHDUJ3TCITXW,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Henkel,Специалист,Очень высокий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Да,Да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Скорее да,5,5,5,3,5,4,5,3,4,5,Скорее да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
66877117,2023.03.20 19:16,00:01:28,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Splat,Junior,Низкий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Скорее нет,Скорее нет,Начальный (только начали разрабатывать стратегию и что-то пробовать),Скорее нет,3,3,4,1,2,3,3,4,3,5,Нет,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,,Переключение акцента компании на другие направления,,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
66877066,2023.03.20 19:14,00:01:23,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",P&G,Middle,Высокий,Экологичность- популярный тренд,,Оптимизация производство,,,,Да,Да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Скорее да,5,5,5,2,3,4,5,3,5,5,Да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,Нестабильность и невозможность планирования,,,Да,"Быстро, но некоторые трудности нас затормозили","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
66877027,2023.03.20 19:13,00:01:20,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Synergetic,Junior,Очень низкий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Скорее нет,Скорее нет,"Средний (уже реализуем большие проекты, обозначены направления развития)",Скорее нет,4,3,3,4,3,5,4,4,3,5,Скорее нет,Затрудняюсь ответить,Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Нет,"Довольно медленно и проблематично, процесс сложный","Нет, ничего не измеряем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Средний
66876985,2023.03.20 19:11,00:01:15,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Loreal,Специалист,Высокий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Скорее да,Да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Да,5,5,5,2,5,3,4,2,3,5,Да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,Уход зарубежных партнёров и глобальных офисов,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Высокий
66876911,2023.03.20 19:09,00:01:27,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Cotton Club,Junior,Низкий,,,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,,,Скорее нет,Скорее нет,Начальный (только начали разрабатывать стратегию и что-то пробовать),Скорее нет,4,3,4,3,4,3,3,5,3,5,Скорее нет,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,Переключение акцента компании на другие направления,,,,,,Скорее да,"Очень тяжело и долго, трансформация проходила/проходит проблематично","Нет, ничего не измеряем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Низкий
66876816,2023.03.20 19:07,00:01:08,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Henkel,Junior,Высокий,Экологичность- популярный тренд,,Оптимизация производство,,,,Скорее да,Скорее да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Скорее да,5,5,5,3,4,4,3,5,3,5,Да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,Уход зарубежных партнёров и глобальных офисов,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
66876747,2023.03.20 19:04,00:01:50,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Cotton Club,Senior,Низкий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Скорее нет,Скорее нет,Начальный (только начали разрабатывать стратегию и что-то пробовать),Скорее нет,4,4,4,2,4,4,2,4,5,4,Скорее нет,"Замедлила, многие устойчивые процессы приостановлены",,Урезание маркетинговых бюджетов,Переключение акцента компании на другие направления,,,,,,Скорее да,"Очень тяжело и долго, трансформация проходила/проходит проблематично","Нет, ничего не измеряем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Средний
66875293,2023.03.20 18:21,00:01:12,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Synergetic,Специалист,Низкий,,Увеличение динамики продаж,,,,,Скорее нет,Скорее нет,"Средний (уже реализуем большие проекты, обозначены направления развития)",Скорее нет,3,4,4,3,4,3,5,5,2,5,Скорее нет,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,,,,Отсутствие доступа к мировым рынкам и рейтингам,,,,Да,"Довольно медленно и проблематично, процесс сложный","Есть на уровне обычного перфоманс маркетинга, устойчивые метрики не используем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Средний
66875052,2023.03.20 18:17,00:01:31,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Colgate-Palmolive,Junior,Высокий,Экологичность- популярный тренд,,Оптимизация производство,,,,Скорее да,Скорее да,"Средний (уже реализуем большие проекты, обозначены направления развития)",Да,4,3,4,2,4,2,4,4,3,4,Скорее да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,,,Уход зарубежных партнёров и глобальных офисов,,,,,Да,"Довольно медленно и проблематично, процесс сложный","Что-то измеряем, но не все",Скорее да,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Средний
